ResponseId,PROLIFIC_PID,ChartType,actual,analogy,actualOverlay,analogyOverlay
R_2tarDzLbNPb3bqm,614280ed34d0c9737fb0f796,StackedArea,/Users/h2o/Desktop/46Sketch/StackedAreaBaseline/R_2tarDzLbNPb3bqm_signature.png,/Users/h2o/Desktop/46Sketch/StackedAreaAnalogy/R_2tarDzLbNPb3bqm_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2tarDzLbNPb3bqm_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2tarDzLbNPb3bqm_signature.png_analogy_composite.png
R_8M5Mr6drjQ356cp,67700724f07c694ad429287a,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_8M5Mr6drjQ356cp_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_8M5Mr6drjQ356cp_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8M5Mr6drjQ356cp_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8M5Mr6drjQ356cp_signature.png_analogy_composite.png
R_6z5sv9foDBmtudT,675a5ad39c319c39e7753011,Sunburst,/Users/h2o/Desktop/46Sketch/Sunburst Draw/R_6z5sv9foDBmtudT_signature.png,/Users/h2o/Desktop/46Sketch/SunburstAnalogy/R_6z5sv9foDBmtudT_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_6z5sv9foDBmtudT_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_6z5sv9foDBmtudT_signature.png_analogy_composite.png
R_5S7e2R0wHmzHF1m,66c0e527746d984d9bff5f3f,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_5S7e2R0wHmzHF1m_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_5S7e2R0wHmzHF1m_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_5S7e2R0wHmzHF1m_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_5S7e2R0wHmzHF1m_signature.png_analogy_composite.png
R_8QOWN9fSDOIFVYJ,5c5b31c415f6c30001de2df5,Waterfall,/Users/h2o/Desktop/46Sketch/WaterfallActual/R_8QOWN9fSDOIFVYJ_signature.png,/Users/h2o/Desktop/46Sketch/WaterfallAnalogy/R_8QOWN9fSDOIFVYJ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8QOWN9fSDOIFVYJ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8QOWN9fSDOIFVYJ_signature.png_analogy_composite.png
R_8P0Us6j4zsjhVTd,60bf28df4926a8b6391df575,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_8P0Us6j4zsjhVTd_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_8P0Us6j4zsjhVTd_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8P0Us6j4zsjhVTd_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8P0Us6j4zsjhVTd_signature.png_analogy_composite.png
R_5FlwVIstYtQusGB,5db0e17518230d00170d4332,ButterflyChart,/Users/h2o/Desktop/46Sketch/ButterflyActual/R_5FlwVIstYtQusGB_signature.png,/Users/h2o/Desktop/46Sketch/ButterflyAnalogy/R_5FlwVIstYtQusGB_signature.png,,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_5FlwVIstYtQusGB_signature.png_analogy_composite.png
R_2lzsSB7JeIs51yV,62d975b271ef86567275de5d,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_2lzsSB7JeIs51yV_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_2lzsSB7JeIs51yV_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2lzsSB7JeIs51yV_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2lzsSB7JeIs51yV_signature.png_analogy_composite.png
R_1CdZOd9BbE6X474,6771d3e04b7744146a495b57,Heatmap,/Users/h2o/Desktop/46Sketch/HeatmapActual/R_1CdZOd9BbE6X474_signature.png,/Users/h2o/Desktop/46Sketch/HeatmapAnalogy/R_1CdZOd9BbE6X474_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_1CdZOd9BbE6X474_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_1CdZOd9BbE6X474_signature.png_analogy_composite.png
R_83dOdS6jzQLJbzc,65feaaac53eb219f09ad5ea0,BarChart,/Users/h2o/Desktop/46Sketch/BarActual/R_83dOdS6jzQLJbzc_signature.png,/Users/h2o/Desktop/46Sketch/BarAnalogy/R_83dOdS6jzQLJbzc_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_83dOdS6jzQLJbzc_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_83dOdS6jzQLJbzc_signature.png_analogy_composite.png
